rank,finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,selfMade,status,gender,lastName,firstName,title,date,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country,selfMade_indicator
1,211000,Fashion & Retail,Bernard Arnault & family,74.0,France,Paris,LVMH,Fashion & Retail,France,False,U,M,Arnault,Bernard,Chairman and CEO,4/4/2023 5:01,110.05,1.1,2715518274227.0,65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749,Inherited Wealth
2,180000,Automotive,Elon Musk,51.0,United States,Austin,"Tesla, SpaceX",Automotive,United States,True,D,M,Musk,Elon,CEO,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Self Made Billionaires
3,114000,Technology,Jeff Bezos,59.0,United States,Medina,Amazon,Technology,United States,True,D,M,Bezos,Jeff,Chairman and Founder,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Self Made Billionaires
4,107000,Technology,Larry Ellison,78.0,United States,Lanai,Oracle,Technology,United States,True,U,M,Ellison,Larry,CTO and Founder,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Self Made Billionaires
5,106000,Finance & Investments,Warren Buffett,92.0,United States,Omaha,Berkshire Hathaway,Finance & Investments,United States,True,D,M,Buffett,Warren,CEO,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Self Made Billionaires
6,104000,Technology,Bill Gates,67.0,United States,Medina,Microsoft,Technology,United States,True,D,M,Gates,Bill,Cochair,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Self Made Billionaires
7,94500,Media & Entertainment,Michael Bloomberg,81.0,United States,New York,Bloomberg LP,Media & Entertainment,United States,True,U,M,Bloomberg,Michael,CEO,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Self Made Billionaires
8,93000,Telecom,Carlos Slim Helu & family,83.0,Mexico,Mexico City,Telecom,Telecom,Mexico,True,U,M,Slim Helu,Carlos,Honorary Chairman,4/4/2023 5:01,141.54,3.6,1258286717125.0,40.2,105.8,75.0,13.1,55.1,126014024.0,23.634501,-102.552784,Self Made Billionaires
9,83400,Diversified,Mukesh Ambani,65.0,India,Mumbai,Diversified,Diversified,India,False,D,M,Ambani,Mukesh,Founder and Chairman,4/4/2023 5:01,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,Inherited Wealth
10,80700,Technology,Steve Ballmer,67.0,United States,Hunts Point,Microsoft,Technology,United States,True,D,M,Ballmer,Steve,Owner,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Self Made Billionaires
